ICD9,ICD10,Disorder
296.22,F32.1,"Major depressive disorder, Single episode, Moderate"
296.23,F32.2,"Major depressive disorder, Single episode, Severe"
296.24,F32.3,"Major depressive disorder, Single episode, With psychotic features"
296.25,F32.4,"Major depressive disorder, Single episode, In partial remission"
296.26,F32.5,"Major depressive disorder, Single episode, In full remission"
296.3,F33.9,"Major depressive disorder, Recurrent episode, Unspecified"
296.31,F33.0,"Major depressive disorder, Recurrent episode, Mild"
296.32,F33.1,"Major depressive disorder, Recurrent episode, Moderate"
296.33,F33.2,"Major depressive disorder, Recurrent episode, Severe"
296.34,F33.3,"Major depressive disorder, Recurrent episode, With psychotic features"
296.35,F33.41,"Major depressive disorder, Recurrent episode, In partial remission"
296.36,F33.42,"Major depressive disorder, Recurrent episode, In full remission"
296.4,F31.0,"Bipolar I disorder, Current or most recent episode hypomanic"
296.4,F31.9,"Bipolar I disorder, Current or most recent episode hypomanic, Unspecified"
296.4,F31.9,"Bipolar I disorder, Current or most recent episode manic, Unspecified"
296.41,F31.11,"Bipolar I disorder, Current or most recent episode manic, Mild"
296.42,F31.12,"Bipolar I disorder, Current or most recent episode manic, Moderate"
296.43,F31.13,"Bipolar I disorder, Current or most recent episode manic, Severe"
296.44,F31.2,"Bipolar I disorder, Current or most recent episode manic, With psychotic features"
296.45,F31.73,"Bipolar I disorder, Current or most recent episode hypomanic, In partial remission"
296.45,F31.73,"Bipolar I disorder, Current or most recent episode manic, In partial remission"
296.46,F31.74,"Bipolar I disorder, Current or most recent episode hypomanic, In full remission"
296.46,F31.74,"Bipolar I disorder, Current or most recent episode manic, In full remission"
296.5,F31.9,"Bipolar I disorder, Current or most recent episode depressed, Unspecified"
296.51,F31.31,"Bipolar I disorder, Current or most recent episode depressed, Mild"
296.52,F31.32,"Bipolar I disorder, Current or most recent episode depressed, Moderate"
296.53,F31.4,"Bipolar I disorder, Current or most recent episode depressed, Severe"
296.54,F31.5,"Bipolar I disorder, Current or most recent episode depressed, With psychotic features"
296.55,F31.75,"Bipolar I disorder, Current or most recent episode depressed, In partial remission"
296.56,F31.76,"Bipolar I disorder, Current or most recent episode depressed, In full remission"
296.7,F31.9,"Bipolar I disorder, Current or most recent episode unspecified"
296.8,F31.9,Unspecified bipolar and related disorder
296.89,F31.81,Bipolar II disorder
296.89,F31.89,Other specified bipolar and related disorder
296.99,F34.8,Disruptive mood dysregulation disorder
297.1,F22,Delusional disorder
298.8,F23,Brief psychotic disorder
298.8,F28,Other specified schizophrenia spectrum and other psychotic disorder
298.9,F29,Unspecified schizophrenia spectrum and other psychotic disorder
299,F84.0,Autism spectrum disorder
300,F41.9,Unspecified anxiety disorder
300.01,F41.0,Panic disorder
300.02,F41.1,Generalized anxiety disorder
300.09,F41.8,Other specified anxiety disorder
300.12,F44.0,Dissociative amnesia
300.13,F44.1,"Dissociative amnesia, with dissociative fugue"
300.14,F44.81,Dissociative identity disorder
300.15,F44.89,Other specified dissociative disorder
300.15,F44.9,Unspecified dissociative disorder
300.19,F68.10,Factitious disorder
300.22,F40.00,Agoraphobia
300.23,F40.10,Social anxiety disorder (social phobia)
300.29,F40.218,"Specific phobia, Animal"
300.29,F40.228,"Specific phobia, Natural environment"
300.29,F40.298,"Specific phobia, Other"
300.29,F40.248,"Specific phobia, Situational"
300.3,F42,Hoarding disorder
300.3,F42,Obsessive-compulsive disorder
300.3,F42,Other specified obsessive-compulsive and related disorder
300.3,F42,Unspecified obsessive-compulsive and related disorder
300.4,F34.1,Persistent depressive disorder (dysthymia)
300.6,F48.1,Depersonalization/derealization disorder
300.7,F45.22,Body dysmorphic disorder
300.7,F45.21,Illness anxiety disorder
300.82,F45.1,Somatic symptom disorder
300.82,F45.9,Unspecified somatic symptom and related disorder
300.89,F45.8,Other specified somatic symptom and related disorder
300.9,F99,Other specified mental disorder
300.9,F99,Unspecified mental disorder
301,F60.0,Paranoid personality disorder
301.13,F34.0,Cyclothymic disorder
301.2,F60.1,Schizoid personality disorder
301.22,F21,Schizotypal personality disorder
301.4,F60.5,Obsessive-compulsive personality disorder
301.5,F60.4,Histrionic personality disorder
301.6,F60.7,Dependent personality disorder
301.7,F60.2,Antisocial personality disorder
301.81,F60.81,Narcissistic personality disorder
301.82,F60.6,Avoidant personality disorder
301.83,F60.3,Borderline personality disorder
301.89,F60.89,Other specified personality disorder
301.9,F60.9,Unspecified personality disorder
302.2,F65.4,Pedophilic disorder
302.3,F65.1,Transvestic disorder
302.4,F65.2,Exhibitionistic disorder
302.6,F64.2,Gender dysphoria in children
302.6,F64.8,Other specified gender dysphoria
302.6,F64.9,Unspecified gender dysphoria
302.7,F52.9,Unspecified sexual dysfunction
302.71,F52.0,Male hypoactive sexual desire disorder
302.72,F52.21,Erectile disorder
302.72,F52.22,Female sexual interest/arousal disorder
302.73,F52.31,Female orgasmic disorder
302.74,F52.32,Delayed ejaculation
302.75,F52.4,Premature (early) ejaculation
302.76,F52.6,Genito-pelvic pain/penetration disorder
302.79,F52.8,Other specified sexual dysfunction
302.81,F65.0,Fetishistic disorder
302.82,F65.3,Voyeuristic disorder
302.83,F65.51,Sexual masochism disorder
302.84,F65.52,Sexual sadism disorder
302.85,F64.1,Gender dysphoria in adolescents and adults
302.89,F65.81,Frotteuristic disorder
302.89,F65.89,Other specified paraphilic disorder
302.9,F65.9,Unspecified paraphilic disorder
303.9,F10.20,"Alcohol use disorder, Moderate"
303.9,F10.20,"Alcohol use disorder, Severe"
304,F11.20,"Opioid use disorder, Moderate"
304,F11.20,"Opioid use disorder, Severe"
304.1,F13.20,"Sedative, hypnotic, or anxiolytic use disorder, Moderate"
304.1,F13.20,"Sedative, hypnotic, or anxiolytic use disorder, Severe"
304.2,F14.20,"Cocaine use disorder, Moderate"
304.2,F14.20,"Cocaine use disorder, Severe"
304.3,F12.20,"Cannabis use disorder, Moderate"
304.3,F12.20,"Cannabis use disorder, Severe"
304.4,F15.20,"Amphetamine-type substance use disorder, Moderate"
304.4,F15.20,"Amphetamine-type substance use disorder, Severe"
304.4,F15.20,"Other or unspecified stimulant use disorder, Moderate"
304.4,F15.20,"Other or unspecified stimulant use disorder, Severe"
304.5,F16.20,"Other hallucinogen use disorder, Moderate"
304.5,F16.20,"Other hallucinogen use disorder, Severe"
304.6,F18.20,"Inhalant use disorder, Moderate"
304.6,F18.20,"Inhalant use disorder, Severe"
304.6,F16.20,"Phencyclidine use disorder, Moderate"
304.6,F16.20,"Phencyclidine use disorder, Severe"
304.9,F19.20,"Other (or unknown) substance use disorder, Moderate"
304.9,F19.20,"Other (or unknown) substance use disorder, Severe"
305,F10.10,"Alcohol use disorder, Mild"
305.1,Z72.0,"Tobacco use disorder, Mild"
305.1,F17.200,"Tobacco use disorder, Moderate"
305.1,F17.200,"Tobacco use disorder, Severe"
305.2,F12.10,"Cannabis use disorder, Mild"
305.3,F16.10,"Other hallucinogen use disorder, Mild"
305.4,F13.10,"Sedative, hypnotic, or anxiolytic use disorder, Mild"
305.5,F11.10,"Opioid use disorder, Mild"
305.6,F14.10,"Cocaine use disorder, Mild"
305.7,F15.10,"Amphetamine-type substance use disorder, Mild"
305.7,F15.10,"Other or unspecified stimulant use disorder, Mild"
305.9,F15.929,Caffeine intoxication
305.9,F18.10,"Inhalant use disorder, Mild"
305.9,F19.10,"Other (or unknown) substance use disorder, Mild"
305.9,F16.10,"Phencyclidine use disorder, Mild"
307,F98.5,Adult-onset fluency disorder
307.1,,Anorexia nervosa
307.2,F95.8,Other specified tic disorder
307.2,F95.9,Unspecified tic disorder
307.21,F95.0,Provisional tic disorder
307.22,F95.1,Persistent (chronic) motor or vocal tic disorder
307.23,F95.2,Tourette's disorder
307.3,F98.4,Stereotypic movement disorder
307.45,G47.22,"Circadian rhythm sleep-wake disorders, Advanced sleep phase type"
307.45,G47.21,"Circadian rhythm sleep-wake disorders, Delayed sleep phase type"
307.45,G47.23,"Circadian rhythm sleep-wake disorders, Irregular sleep-wake type"
307.45,G47.24,"Circadian rhythm sleep-wake disorders, Non-24-hour sleep-wake type"
307.45,G47.26,"Circadian rhythm sleep-wake disorders, Shift work type"
307.45,G47.20,"Circadian rhythm sleep-wake disorders, Unspecified type"
307.46,F51.4,"Non-rapid eye movement sleep arousal disorders, Sleep terror type"
307.46,F51.3,"Non-rapid eye movement sleep arousal disorders, Sleepwalking type"
307.47,F51.5,Nightmare disorder
307.5,F50.9,Unspecified feeding or eating disorder
307.51,F50.8,Binge-eating disorder
307.51,F50.2,Bulimia nervosa
307.53,F98.21,Rumination disorder
307.59,F50.8,Avoidant/restrictive food intake disorder
307.59,F50.8,Other specified feeding or eating disorder
307.6,F98.0,Enuresis
307.7,F98.1,Encopresis
307.9,F80.9,Unspecified communication disorder
308.3,F43.0,Acute stress disorder
309,F43.21,"Adjustment disorder, With depressed mood"
309.21,F93.0,Separation anxiety disorder
309.24,F43.22,"Adjustment disorder, With anxiety"
309.28,F43.23,"Adjustment disorder, With mixed anxiety and depressed mood"
309.3,F43.24,"Adjustment disorder, With disturbance of conduct"
309.4,F43.25,"Adjustment disorder, With mixed disturbance of emotions and conduct"
309.81,F43.10,Posttraumatic stress disorder
309.89,F43.8,Other specified trauma- and stressor-related disorder
309.9,F43.20,"Adjustment disorder, Unspecified"
309.9,F43.9,Unspecified trauma- and stressor-related disorder
310.1,F07.0,Personality change due to another medical condition
311,F32.8,Other specified depressive disorder
311,F32.9,Unspecified depressive disorder
312.31,F63.0,Gambling disorder
312.32,F63.2,Kleptomania
312.33,F63.1,Pyromania
312.34,F63.81,Intermittent explosive disorder
312.39,F63.3,Trichotillomania (hair-pulling disorder)
312.81,F91.1,"Conduct disorder, Childhood-onset type"
312.82,F91.2,"Conduct disorder, Adolescent-onset type"
312.89,F91.9,"Conduct disorder, Unspecified onset"
312.89,F91.8,"Other specified disruptive, impulse-control, and conduct disorder"
312.9,F91.9,"Unspecified disruptive, impulse-control, and conduct disorder"
313.23,F94.0,Selective mutism
313.81,F91.3,Oppositional defiant disorder
313.89,F94.2,Disinhibited social engagement disorder
313.89,F94.1,Reactive attachment disorder
314,F90.0,"Attention-deficit/hyperactivity disorder, Predominantly inattentive presentation"
314.01,F90.2,"Attention-deficit/hyperactivity disorder, Combined presentation"
314.01,F90.1,"Attention-deficit/hyperactivity disorder, Predominantly hyperactive/impulsive presentation"
314.01,F90.8,Other specified attention-deficit/hyperactivity disorder
314.01,F90.9,Unspecified attention-deficit/hyperactivity disorder
315,F81.0,"Specific learning disorder, With impairment in reading"
315.1,F81.2,"Specific learning disorder, With impairment in mathematics"
315.2,F81.81,"Specific learning disorder, With impairment in written expression"
315.35,F80.81,Childhood-onset fluency disorder (stuttering)
315.39,F80.9,Language disorder
315.39,F80.89,Social (pragmatic) communication disorder
315.39,F80.0,Speech sound disorder
315.4,F82,Developmental coordination disorder
315.8,F88,Global developmental delay
315.8,F88,Other specified neurodevelopmental disorder
315.9,F89,Unspecified neurodevelopmental disorder
316,F54,Psychological factors affecting other medical conditions
317,F70,"Intellectual disability (intellectual developmental disorder), Mild"
318,F71,"Intellectual disability (intellectual developmental disorder), Moderate"
318.1,F72,"Intellectual disability (intellectual developmental disorder), Severe"
318.2,F73,"Intellectual disability (intellectual developmental disorder), Profound"
319,F79,Unspecified intellectual disability (intellectual developmental disorder)
327.21,G47.31,Idiopathic central sleep apnea
327.23,G47.33,Obstructive sleep apnea hypopnea
327.24,G47.34,Idiopathic hypoventilation
327.25,G47.35,Congenital central alveolar hypoventilation
327.26,G47.36,Comorbid sleep-related hypoventilation
327.42,G47.52,Rapid eye movement sleep behavior disorder
331.83,G31.84,Mild frontotemporal neurocognitive disorder
331.83,G31.84,Mild neurocognitive disorder due to Alzheimer's disease
331.83,G31.84,Mild neurocognitive disorder due to another medical condition
331.83,G31.84,Mild neurocognitive disorder due to HIV infection
331.83,G31.84,Mild neurocognitive disorder due to Huntington's disease
331.83,G31.84,Mild neurocognitive disorder due to multiple etiologies
331.83,G31.84,Mild neurocognitive disorder due to Parkinson's disease
331.83,G31.84,Mild neurocognitive disorder due to prion disease
331.83,G31.84,Mild neurocognitive disorder due to traumatic brain injury
331.83,G31.84,Mild neurocognitive disorder with Lewy bodies
331.83,G31.84,Mild vascular neurocognitive disorder
331.9,G31.9,"Major frontotemporal neurocognitive disorder, Possible"
331.9,G31.9,"Major neurocognitive disorder due to Parkinson's disease, Possible"
331.9,G31.9,"Major neurocognitive disorder with Lewy bodies, Possible"
331.9,G31.9,"Major vascular neurocognitive disorder, Possible"
332.1,G21.11,Neuroleptic-induced parkinsonism
332.1,G21.19,Other medication-induced parkinsonism
333.1,G25.1,Medication-induced postural tremor
333.72,G24.02,Medication-induced acute dystonia
333.72,G24.09,Tardive dystonia
333.85,G24.01,Tardive dyskinesia
333.92,G21.0,Neuroleptic malignant syndrome
333.94,G25.81,Restless legs syndrome
333.99,G25.71,Medication-induced acute akathisia
333.99,G25.79,Other medication-induced movement disorder
333.99,G25.71,Tardive akathisia
347,G47.419,"Autosomal dominant cerebellar ataxia, deafness, and narcolepsy"
347,G47.419,"Autosomal dominant narcolepsy, obesity, and type 2 diabetes"
347,G47.419,Narcolepsy without cataplexy but with hypocretin deficiency
347.01,G47.411,Narcolepsy with cataplexy but without hypocretin deficiency
347.1,G47.429,Narcolepsy secondary to another medical condition
625.4,N94.3,Premenstrual dysphoric disorder
698.4,L98.1,Excoriation (skin-picking) disorder
780.09,R41.0,Other specified delirium
780.09,R41.0,Unspecified delirium
780.52,G47.00,Insomnia disorder
780.52,G47.09,Other specified insomnia disorder
780.52,G47.00,Unspecified insomnia disorder
780.54,G47.10,Hypersomnolence disorder
780.54,G47.19,Other specified hypersomnolence disorder
780.54,G47.10,Unspecified hypersomnolence disorder
780.57,G47.37,Central sleep apnea comorbid with opioid use
780.59,G47.8,Other specified sleep-wake disorder
780.59,G47.9,Unspecified sleep-wake disorder
786.04,R06.3,Cheyne-Stokes breathing
787.6,R15.9,"Other specified elimination disorder, With fecal symptoms"
787.6,R15.9,"Unspecified elimination disorder, With fecal symptoms"
788.3,R32,"Unspecified elimination disorder, With urinary symptoms"
788.39,N39.498,"Other specified elimination disorder, With urinary symptoms"
799.59,R41.9,Unspecified neurocognitive disorder
995.2,T50.905A,"Other adverse effect of medication, Initial encounter"
995.2,T50.905S,"Other adverse effect of medication, Sequelae"
995.2,T50.905D,"Other adverse effect of medication, Subsequent encounter"
995.29,T43.205A,"Antidepressant discontinuation syndrome, Initial encounter"
995.29,T43.205S,"Antidepressant discontinuation syndrome, Sequelae"
995.29,T43.205D,"Antidepressant discontinuation syndrome, Subsequent encounter"
995.51,T74.32XA,"Child psychological abuse, Confirmed, Initial encounter"
995.51,T74.32XD,"Child psychological abuse, Confirmed, Subsequent encounter"
995.51,T76.32XA,"Child psychological abuse, Suspected, Initial encounter"
995.51,T76.32XD,"Child psychological abuse, Suspected, Subsequent encounter"
995.52,T74.02XA,"Child neglect, Confirmed, Initial encounter"
995.52,T74.02XD,"Child neglect, Confirmed, Subsequent encounter"
995.52,T76.02XA,"Child neglect, Suspected, Initial encounter"
995.52,T76.02XD,"Child neglect, Suspected, Subsequent encounter"
995.53,T74.22XA,"Child sexual abuse, Confirmed, Initial encounter"
995.53,T74.22XD,"Child sexual abuse, Confirmed, Subsequent encounter"
995.53,T76.22XA,"Child sexual abuse, Suspected, Initial encounter"
995.53,T76.22XD,"Child sexual abuse, Suspected, Subsequent encounter"
995.54,T74.12XA,"Child physical abuse, Confirmed, Initial encounter"
995.54,T74.12XD,"Child physical abuse, Confirmed, Subsequent encounter"
995.54,T76.12XA,"Child physical abuse, Suspected, Initial encounter"
995.54,T76.12XD,"Child physical abuse, Suspected, Subsequent encounter"
995.81,T74.11XA,"Adult physical abuse by nonspouse or nonpartner, Confirmed, Initial encounter"
995.81,T74.11XD,"Adult physical abuse by nonspouse or nonpartner, Confirmed, Subsequent encounter"
995.81,T76.11XA,"Adult physical abuse by nonspouse or nonpartner, Suspected, Initial encounter"
995.81,T76.11XD,"Adult physical abuse by nonspouse or nonpartner, Suspected, Subsequent encounter"
995.81,T74.11XA,"Spouse or partner violence, Physical, Confirmed, Initial encounter"
995.81,T74.11XD,"Spouse or partner violence, Physical, Confirmed, Subsequent encounter"
995.81,T76.11XA,"Spouse or partner Violence, Physical, Suspected, Initial encounter"
995.81,T76.11XD,"Spouse or partner Violence, Physical, Suspected, Subsequent encounter"
995.82,T74.31XA,"Adult psychological abuse by nonspouse or nonpartner, Confirmed, Initial encounter"
995.82,T74.31XD,"Adult psychological abuse by nonspouse or nonpartner, Confirmed, Subsequent encounter"
995.82,T76.31XA,"Adult psychological abuse by nonspouse or nonpartner, Suspected, Initial encounter"
995.82,T76.31XD,"Adult psychological abuse by nonspouse or nonpartner, Suspected, Subsequent encounter"
995.82,T74.31XA,"Spouse or partner abuse, Psychological, Confirmed, Initial encounter"
995.82,T74.31XD,"Spouse or partner abuse, Psychological, Confirmed, Subsequent encounter"
995.82,T76.31XA,"Spouse or partner abuse, Psychological, Suspected, Initial encounter"
995.82,T76.31XD,"Spouse or partner abuse, Psychological, Suspected, Subsequent encounter"
995.83,T74.21XA,"Adult sexual abuse by nonspouse or nonpartner, Confirmed, Initial encounter"
995.83,T74.21XD,"Adult sexual abuse by nonspouse or nonpartner, Confirmed, Subsequent encounter"
995.83,T76.21XA,"Adult sexual abuse by nonspouse or nonpartner, Suspected, Initial encounter"
995.83,T76.21XD,"Adult sexual abuse by nonspouse or nonpartner, Suspected, Subsequent encounter"
995.83,T74.21XA,"Spouse or partner Violence, Sexual, Confirmed, Initial encounter"
995.83,T74.21XD,"Spouse or partner Violence, Sexual, Confirmed, Subsequent encounter"
995.83,T76.21XA,"Spouse or partner Violence, Sexual, Suspected, Initial encounter"
995.83,T76.21XD,"Spouse or partner Violence, Sexual, Suspected, Subsequent encounter"
995.85,T74.01XA,"Spouse or partner neglect, Confirmed, Initial encounter"
995.85,T74.01XD,"Spouse or partner neglect, Confirmed, Subsequent encounter"
995.85,T76.01XA,"Spouse or partner neglect, Suspected, Initial encounter"
995.85,T76.01XD,"Spouse or partner neglect, Suspected, Subsequent encounter"
V15.41,Z62.810,Personal history (past history) of physical abuse in childhood
V15.41,Z62.810,Personal history (past history) of sexual abuse in childhood
V15.41,Z91.410,"Personal history (past history) of spouse or partner violence, Physical"
V15.41,Z91.410,"Personal history (past history) of spouse or partner violence, Sexual"
V15.42,Z62.812,Personal history (past history) of neglect in childhood
V15.42,Z62.811,Personal history (past history) of psychological abuse in childhood
V15.42,Z91.412,Personal history (past history) of spouse or partner neglect
V15.42,Z91.411,Personal history (past history) of spouse or partner psychological abuse
V15.49,Z91.49,Other personal history of psychological trauma
V15.59,Z91.5,Personal history of self-harm
V15.81,Z91.19,Nonadherence to medical treatment
V15.89,Z91.89,Other personal risk factors
V40.31,Z91.83,Wandering associated with a mental disorder
V60.0,Z59.0,Homelessness
V60.1,Z59.1,Inadequate housing
V60.2,Z59.5,Extreme poverty
V60.2,Z59.7,Insufficient social insurance or welfare support
V60.2,Z59.4,Lack of adequate food or safe drinking water
V60.2,Z59.6,Low income
V60.3,Z60.2,Problem related to living alone
V60.6,Z59.3,Problem related to living in a residential institution
V60.89,Z59.2,"Discord with neighbor, lodger, or landlord"
V60.9,Z59.9,Unspecified housing or economic problem
V61.03,Z63.5,Disruption of family by separation or divorce
V61.10,Z63.0,Relationship distress with spouse or intimate partner
V61.11,Z69.11,"Other circumstances related to spouse or partner abuse, Psychological, Encounter for mental health services for victim of spouse or partner psychological abuse"
V61.11,Z69.11,"Other circumstances related to spouse or partner neglect, Encounter for mental health services for victim of spouse or partner neglect"
V61.11,Z69.11,"Other circumstances related to spouse or partner violence, Physical, Encounter for mental health services for victim of spouse or partner violence"
V61.11,Z69.81,"Other circumstances related to spouse or partner violence, Sexual, Encounter for mental health services for victim of spouse or partner violence"
V61.12,Z69.12,"Other circumstances related to spouse or partner abuse, Psychological, Encounter for mental health services for perpetrator of spouse or partner psychological abuse"
V61.12,Z69.12,"Other circumstances related to spouse or partner neglect, Encounter for mental health services for perpetrator of spouse or partner neglect"
V61.12,Z69.12,"Other circumstances related to spouse or partner violence, Physical, Encounter for mental health services for perpetrator of spouse or partner violence"
V61.12,Z69.12,"Other circumstances related to spouse or partner violence, Sexual, Encounter for mental health services for perpetrator of spouse or partner violence"
V61.20,Z62.820,Parent-child relational problem
V61.21,Z69.010,"Other circumstances related to child neglect, Encounter for mental health services for victim of child neglect by parent"
V61.21,Z69.020,"Other circumstances related to child neglect, Encounter for mental health services for victim of nonparental child neglect"
V61.21,Z69.010,"Other circumstances related to child physical abuse, Encounter for mental health services for victim of child abuse by parent"
V61.21,Z69.020,"Other circumstances related to child physical abuse, Encounter for mental health services for victim of nonparental child abuse"
V61.21,Z69.010,"Other circumstances related to child psychological abuse, Encounter for mental health services for victim of child psychological abuse by parent"
V61.21,Z69.020,"Other circumstances related to child psychological abuse, Encounter for mental health services for victim of nonparental child psychological abuse"
V61.21,Z69.010,"Other circumstances related to child sexual abuse, Encounter for mental health services for victim of child sexual abuse by parent"
V61.21,Z69.020,"Other circumstances related to child sexual abuse, Encounter for mental health services for victim of nonparental child sexual abuse"
V61.22,Z69.011,"Other circumstances related to child neglect, Encounter for mental health services for perpetrator of parental child neglect"
V61.22,Z69.011,"Other circumstances related to child physical abuse, Encounter for mental health services for perpetrator of parental child abuse"
V61.22,Z69.011,"Other circumstances related to child psychological abuse, Encounter for mental health services for perpetrator of parental child psychological abuse"
V61.22,Z69.011,"Other circumstances related to child sexual abuse, Encounter for mental health services for perpetrator of parental child sexual abuse"
V61.29,Z62.898,Child affected by parental relationship distress
V61.5,Z64.1,Problems related to multiparity
V61.7,Z64.0,Problems related to unwanted pregnancy
V61.8,Z63.8,High expressed emotion level within family
V61.8,Z62.891,Sibling relational problem
V61.8,Z62.29,Upbringing away from parents
V62.21,Z56.82,Problem related to current military deployment status
V62.22,Z65.5,"Exposure to disaster, war, or other hostilities"
V62.22,Z91.82,Personal history of military deployment
V62.29,Z56.9,Other problem related to employment
V62.3,Z55.9,Academic or educational problem
V62.4,Z60.3,Acculturation difficulty
V62.4,Z60.4,Social exclusion or rejection
V62.4,Z60.5,Target of (perceived) adverse discrimination or persecution
V62.5,Z65.0,Conviction in civil or criminal proceedings without imprisonment
V62.5,Z65.1,Imprisonment or other incarceration
V62.5,Z65.3,Problems related to other legal circumstances
V62.5,Z65.2,Problems related to release from prison
V62.82,Z63.4,Uncomplicated bereavement
V62.83,Z69.82,"Other circumstances related to adult abuse by nonspouse or nonpartner, Encounter for mental health services for perpetrator of nonspousal adult abuse"
V62.83,Z69.021,"Other circumstances related to child neglect, Encounter for mental health services for perpetrator of nonparental child neglect"
V62.83,Z69.021,"Other circumstances related to child physical abuse, Encounter for mental health services for perpetrator of nonparental child abuse"
V62.83,Z69.021,"Other circumstances related to child psychological abuse, Encounter for mental health services for perpetrator of nonparental child psychological abuse"
V62.83,Z69.021,"Other circumstances related to child sexual abuse, Encounter for mental health services for perpetrator of nonparental child sexual abuse"
V62.89,R41.83,Borderline intellectual functioning
V62.89,Z64.4,"Discord with social service provider, including probation officer, case manager, or social services worker"
V62.89,Z65.8,Other problem related to psychosocial circumstances
V62.89,Z60.0,Phase of life problem
V62.89,Z65.8,Religious or spiritual problem
V62.89,Z65.4,Victim of crime
V62.89,Z65.4,Victim of terrorism or torture
V62.9,Z60.9,Unspecified problem related to social environment
V62.9,Z65.9,Unspecified problem related to unspecified psychosocial circumstances
V63.8,Z75.4,Unavailability or inaccessibility of other helping agencies
V63.9,Z75.3,Unavailability or inaccessibility of health care facilities
V65.2,Z76.5,Malingering
V65.40,Z71.9,Other counseling or consultation
V65.49,Z69.81,"Other circumstances related to adult abuse by nonspouse or nonpartner, Encounter for mental health services for victim of nonspousal adult abuse"
V65.49,Z70.9,Sex counseling
V69.9,Z72.9,Problem related to lifestyle
V71.01,Z72.811,Adult antisocial behavior
V71.02,Z72.810,Child or adolescent antisocial behavior
